id,full name,formdate,jan,feb,mar,apr,may,jun,jul
137,Panthera leo,22,9,6,16,8,11,23,15
138,Cereopsis novaehollandiae,22,23,13,18,24,10,12,22
139,Marmota monax,22,21,25,29,10,16,8,17
140,Grus canadensis,22,12,6,7,3,7,4,15
141,Pteropus rufus,22,14,7,13,5,10,28,19
142,Aquila chrysaetos,22,8,17,21,13,10,29,16
143,Macropus fuliginosus,22,8,2,1,14,12,16,21
144,Butorides striatus,22,4,15,16,9,18,2,19
145,Lemur catta,22,12,28,6,5,5,22,3
146,unavailable,22,26,26,8,8,22,17,8
147,Passer domesticus,22,18,7,31,12,18,9,25
148,Otaria flavescens,22,5,23,19,6,30,7,3
149,Oxybelis fulgidus,22,28,2,7,22,14,29,11
150,Ursus arctos,22,5,1,15,25,8,18,18
151,Tamandua tetradactyla,22,22,20,22,8,3,27,28
152,Tachybaptus ruficollis,22,4,25,27,20,6,22,20
153,Chlidonias leucopterus,22,25,15,31,23,28,13,4
154,Phalaropus lobatus,22,22,26,15,23,19,25,10
155,Felis silvestris lybica,22,12,26,26,27,23,13,9
156,Gopherus agassizii,22,27,16,2,25,17,18,4
157,Sciurus vulgaris,22,21,14,29,27,1,1,3
158,Gabianus pacificus,22,4,29,14,18,27,24,11
159,Cebus apella,22,15,29,6,23,3,11,5
160,Trichosurus vulpecula,22,15,4,11,19,31,12,21
161,Ninox superciliaris,22,19,8,19,6,8,9,25
162,Eudromia elegans,22,17,19,9,4,8,2,10
163,Cervus canadensis,22,12,6,26,10,19,25,30
164,Bucorvus leadbeateri,22,13,30,24,4,26,31,7
165,Dicrostonyx groenlandicus,22,11,3,10,16,29,18,16
166,Aonyx capensis,22,8,19,16,6,10,3,12
167,Nasua narica,22,28,12,6,4,17,11,10
168,Ardea cinerea,22,23,22,19,31,10,29,8
169,Oxybelis sp.,22,8,6,6,2,6,17,21
170,Antilope cervicapra,22,29,10,30,17,15,4,31
171,Echimys chrysurus,22,12,30,25,16,11,23,16
172,Ceryle rudis,22,14,31,25,14,27,19,18
173,Sciurus niger,22,23,21,26,31,21,2,27
174,Geococcyx californianus,22,20,28,27,5,18,28,2
175,Macropus agilis,22,9,21,19,28,26,2,19
176,Trichosurus vulpecula,22,21,19,7,10,10,6,18
177,Geochelone elephantopus,22,5,24,6,20,15,12,8
178,Crocodylus niloticus,22,19,4,21,22,1,30,31
179,Cervus elaphus,22,6,18,25,21,3,28,6
180,Columba livia,22,16,19,1,6,18,28,17
181,Bos frontalis,22,9,14,11,14,23,22,16
182,Papio cynocephalus,22,30,27,16,9,4,23,26
183,Coracias caudata,22,24,1,26,3,27,30,29
184,Agkistrodon piscivorus,22,1,3,15,25,29,15,28
185,Naja haje,22,14,11,31,17,27,14,29
186,Pelecanus conspicillatus,22,5,27,18,13,9,16,21
187,Larus fuliginosus,22,9,11,16,8,31,27,25
188,Marmota flaviventris,22,21,25,18,13,2,27,19
189,Papio cynocephalus,22,25,22,5,12,29,19,31
190,Toxostoma curvirostre,22,29,20,3,31,15,6,13
191,unavailable,22,18,19,28,20,31,5,30
192,Otaria flavescens,22,12,7,10,25,7,11,25
193,Phoeniconaias minor,22,31,1,26,20,6,21,22
194,Papio cynocephalus,22,22,21,26,11,13,16,16
195,Butorides striatus,22,6,31,18,28,29,10,13
196,Potos flavus,22,12,2,5,5,18,26,20
197,Cervus canadensis,22,4,29,17,9,10,5,1
198,Acrobates pygmaeus,22,18,24,18,20,26,18,3
199,Speotyte cuniculata,22,31,26,11,12,25,16,13
200,Sus scrofa,22,3,4,27,15,24,1,9
201,Varanus salvator,22,10,11,4,6,7,3,4
202,Corvus albicollis,22,19,24,11,7,12,1,23
203,Branta canadensis,22,29,2,9,14,27,7,5
204,Spizaetus coronatus,22,15,10,24,4,14,11,31
205,Leptoptilus dubius,22,9,30,21,9,10,15,15
206,Phascogale calura,22,14,8,27,25,1,25,28
207,Eudromia elegans,22,3,11,4,7,19,22,6
208,Amphibolurus barbatus,22,11,6,4,24,17,3,15
209,Sarcorhamphus papa,22,25,3,21,25,13,5,21
210,Ovis orientalis,22,16,21,3,21,31,1,13
211,Geochelone elegans,22,7,29,25,31,19,19,5
212,Chauna torquata,22,16,26,17,4,21,15,7
213,Mellivora capensis,22,22,25,22,13,5,31,10
214,Streptopelia senegalensis,22,1,8,12,10,3,22,10
215,Papilio canadensis,22,30,3,4,29,10,20,24
216,Colaptes campestroides,22,6,25,7,14,19,30,29
217,Ictonyx striatus,22,11,19,21,27,5,17,6
218,Phascogale calura,22,20,24,19,26,26,1,10
219,Naja haje,22,29,13,8,21,13,23,26
220,Alouatta seniculus,22,5,20,12,26,10,14,28
221,Plectopterus gambensis,22,13,6,18,29,7,31,12
222,Ara macao,22,3,29,19,15,11,25,20
223,Raphicerus campestris,22,30,29,10,13,10,13,13
224,Alectura lathami,22,15,14,12,8,22,22,26
225,Cebus albifrons,22,27,8,12,15,21,7,20
226,Bubo sp.,22,3,2,10,5,16,31,28
227,Macropus eugenii,22,4,2,24,8,24,15,10
228,Gymnorhina tibicen,22,30,16,28,17,22,22,21
229,Myrmecobius fasciatus,22,17,26,1,28,5,26,26
230,Phalaropus lobatus,22,29,15,2,17,10,6,17
231,Coluber constrictor foxii,22,10,2,19,16,26,8,8
232,Dendrocitta vagabunda,22,21,13,17,17,4,10,26
233,Actophilornis africanus,22,13,5,15,26,8,28,25
234,Rhea americana,22,25,25,12,10,8,2,21
235,Tachyglossus aculeatus,22,19,20,6,1,12,7,5
236,Himantopus himantopus,22,12,10,14,27,5,13,4
237,Anitibyx armatus,22,4,1,15,14,12,20,6
238,Merops bullockoides,22,9,19,5,16,20,4,24
239,Ardea golieth,22,13,3,12,10,16,4,7
240,Stercorarius longicausus,22,11,14,21,6,3,19,3
241,Dacelo novaeguineae,22,31,29,25,12,21,13,4
242,Hymenolaimus malacorhynchus,22,23,25,10,25,12,5,26
243,Myiarchus tuberculifer,22,23,11,2,31,16,19,29
244,Streptopelia senegalensis,22,14,17,20,14,2,13,6
245,Varanus sp.,22,11,15,14,3,25,3,13
246,Lycosa godeffroyi,22,2,2,29,25,23,16,15
247,Bubalus arnee,22,18,6,24,10,18,23,4
248,Cathartes aura,22,22,3,6,22,19,26,30
249,Upupa epops,22,4,19,17,23,7,7,3
250,Macropus agilis,22,7,26,22,18,25,22,31
251,Felis serval,22,25,12,20,18,10,26,8
252,Alouatta seniculus,22,10,9,20,21,6,15,4
253,Ramphastos tucanus,22,8,2,4,14,28,29,15
254,Laniarius ferrugineus,22,18,6,14,3,4,25,8
255,Cochlearius cochlearius,22,28,28,12,29,18,15,7
256,Herpestes javanicus,22,14,7,16,5,26,8,22
257,Ephipplorhynchus senegalensis,22,5,24,26,4,29,25,7
258,Ardea golieth,22,9,8,28,14,22,21,1
259,Odocoilenaus virginianus,22,23,31,10,13,7,17,7
260,Lasiorhinus latifrons,22,4,30,17,24,21,11,6
261,Chloephaga melanoptera,22,13,18,27,19,23,16,2
262,Aegypius tracheliotus,22,3,2,6,25,19,10,30
263,unavailable,22,19,5,16,22,6,7,27
264,Pteropus rufus,22,23,15,6,9,27,28,4
265,Acridotheres tristis,22,18,30,28,27,24,12,6
266,Choriotis kori,22,13,2,27,4,4,23,29
267,Streptopelia senegalensis,22,4,7,7,8,27,27,25
268,Tyto novaehollandiae,22,9,26,12,21,20,7,24
269,Cynictis penicillata,22,15,13,21,31,11,2,15
270,Tiliqua scincoides,22,31,24,26,24,21,4,12
271,Vulpes vulpes,22,17,28,15,25,9,13,20
272,Numida meleagris,22,10,6,24,9,2,18,8
273,Pseudalopex gymnocercus,22,26,22,22,28,29,16,12
274,Agouti paca,22,28,11,9,9,19,21,21
275,Gyps bengalensis,22,26,11,28,30,28,3,2
276,Paroaria gularis,22,11,5,28,27,1,14,22
277,Tachyglossus aculeatus,22,3,12,19,26,28,9,13
278,Ciconia ciconia,22,16,4,25,14,20,22,31
279,Pelecanus occidentalis,22,16,7,3,24,4,25,27
280,Naja haje,22,4,12,1,3,14,20,24
281,Haliaetus vocifer,22,18,6,10,29,8,12,29
282,Macropus eugenii,22,2,2,2,29,25,7,13
283,Gorilla gorilla,22,29,12,30,10,27,10,13
284,Sciurus niger,22,8,27,11,8,2,8,25
285,Bugeranus caruncalatus,22,20,14,18,29,6,16,11
286,Cynictis penicillata,22,25,31,19,24,12,20,14
287,Tadorna tadorna,22,30,3,25,1,7,22,21
288,Odocoileus hemionus,22,14,24,27,2,6,4,18
289,Bettongia penicillata,22,14,22,28,11,11,26,8
290,Alopex lagopus,22,3,28,26,20,23,19,6
291,Dusicyon thous,22,12,7,11,16,8,13,11
292,Dasyurus viverrinus,22,12,10,12,15,11,21,5
293,Trachyphonus vaillantii,22,19,7,12,26,6,19,30
294,Terathopius ecaudatus,22,21,18,31,25,5,28,29
295,Corythornis cristata,22,20,13,18,20,20,26,12
296,Haliaetus leucogaster,22,18,9,17,19,29,17,22
297,Lama pacos,22,19,10,14,7,26,24,26
298,unavailable,22,9,7,13,12,2,22,15
299,Physignathus cocincinus,22,22,17,14,24,12,10,17
300,Dusicyon thous,22,24,21,8,12,16,11,7
301,Francolinus coqui,22,18,23,27,27,24,22,6
302,Cercopithecus aethiops,22,24,26,19,11,23,18,26
303,Dasypus novemcinctus,22,3,10,29,31,9,29,10
304,Bubulcus ibis,22,24,11,9,26,9,26,1
305,Laniaurius atrococcineus,22,7,14,23,25,3,15,25
306,Taurotagus oryx,22,2,13,13,26,18,24,25
307,Bucorvus leadbeateri,22,1,22,27,12,21,2,20
308,Lutra canadensis,22,5,26,16,3,26,1,17
309,Uraeginthus angolensis,22,21,14,21,11,16,27,12
310,unavailable,22,5,1,31,28,24,18,29
311,Ephipplorhynchus senegalensis,22,12,10,8,23,16,18,4
312,Upupa epops,22,12,24,4,5,18,20,20
313,Grus canadensis,22,13,23,20,28,26,29,2
314,Hyaena hyaena,22,16,9,29,31,19,1,15
315,Larus novaehollandiae,22,22,28,25,24,4,3,29
316,Buteo jamaicensis,22,1,30,5,19,2,8,2
317,Bubalornis niger,22,1,3,16,16,10,24,19
318,Himantopus himantopus,22,30,7,11,15,2,23,12
319,Laniarius ferrugineus,22,15,25,7,11,15,20,31
320,Phoca vitulina,22,15,8,31,3,24,23,23
321,Varanus salvator,22,17,4,8,19,15,7,20
322,Phalacrocorax albiventer,22,27,28,6,12,31,21,31
323,Dromaeus novaehollandiae,22,11,7,18,25,21,3,31
324,Kobus defassa,22,17,23,27,18,13,23,13
325,Tamiasciurus hudsonicus,22,20,21,13,19,31,18,3
326,Arctogalidia trivirgata,22,24,18,1,14,11,27,21
327,Phoenicopterus chilensis,22,15,10,20,21,2,26,30
328,Larus fuliginosus,22,28,12,4,15,20,30,20
329,Lamprotornis chalybaeus,22,13,4,14,2,11,5,12
330,Ardea golieth,22,13,29,27,8,22,16,6
331,Aegypius tracheliotus,22,31,19,23,10,4,27,14
332,Porphyrio porphyrio,22,5,26,2,12,16,18,17
333,Redunca redunca,22,24,27,29,5,22,13,16
334,Tachybaptus ruficollis,22,10,13,2,5,31,1,5
335,Semnopithecus entellus,22,22,4,31,22,19,10,8
336,Pseudocheirus peregrinus,22,15,31,12,18,27,19,16
337,Gorilla gorilla,22,21,25,19,16,12,17,18
338,unavailable,22,29,30,31,16,28,31,10
339,Agelaius phoeniceus,22,25,31,17,29,31,13,24
340,Leprocaulinus vipera,22,3,10,21,22,20,14,21
341,Geococcyx californianus,22,18,13,2,13,12,20,12
342,Pseudalopex gymnocercus,22,22,14,7,9,16,3,21
343,Otaria flavescens,22,7,28,21,12,12,6,2
344,Dusicyon thous,22,18,5,4,4,7,24,23
345,Coluber constrictor foxii,22,27,17,11,18,5,7,10
346,Oncorhynchus nerka,22,15,31,30,25,4,19,19
347,Aepyceros mylampus,22,19,22,26,9,15,23,12
348,Phalaropus lobatus,22,19,16,18,29,16,23,6
349,Myrmecophaga tridactyla,22,10,18,22,29,23,3,26
350,Pelecanus conspicillatus,22,20,2,17,8,24,29,20
351,Oryx gazella,22,6,18,10,14,5,14,25
352,Paroaria gularis,22,8,2,27,20,28,9,28
353,Raphicerus campestris,22,24,30,26,5,27,19,10
354,Meles meles,22,12,2,16,4,31,18,22
355,Nesomimus trifasciatus,22,19,10,7,30,29,3,29
356,Ammospermophilus nelsoni,22,16,14,24,17,30,22,14
357,Raphicerus campestris,22,11,17,22,21,15,17,2
358,Naja nivea,22,3,28,23,4,8,19,5
359,Centrocercus urophasianus,22,18,13,8,20,19,8,4
360,Castor canadensis,22,17,12,20,4,7,10,18
361,Cyrtodactylus louisiadensis,22,12,25,23,16,1,23,30
362,Junonia genoveua,22,26,25,21,28,6,12,28
363,Larus dominicanus,22,14,29,29,18,20,8,5
364,Canis aureus,22,31,24,12,30,11,31,25
365,Ciconia episcopus,22,28,20,23,29,1,1,21
366,Falco mexicanus,22,7,24,4,9,29,7,15
367,Geospiza sp.,22,13,29,16,17,22,26,20
368,Chordeiles minor,22,1,31,7,5,29,26,22
369,Terrapene carolina,22,29,22,26,24,11,3,10
370,Naja haje,22,5,3,27,25,3,22,21
371,Libellula quadrimaculata,22,8,24,12,16,5,5,4
372,Paradoxurus hermaphroditus,22,8,2,16,8,30,8,5
373,Lemur catta,22,31,24,9,22,8,1,5
374,Sarkidornis melanotos,22,14,15,1,26,8,11,9
375,Geococcyx californianus,22,19,8,21,19,31,30,13
376,Madoqua kirkii,22,6,11,14,15,5,1,5
377,Anser caerulescens,22,29,31,2,26,4,9,17
378,Rangifer tarandus,22,10,31,28,19,15,24,16
379,Columba palumbus,22,11,2,18,3,8,26,4
380,Casmerodius albus,22,28,17,5,17,17,13,6
381,Ovis ammon,22,15,3,29,26,12,4,17
382,Cyrtodactylus louisiadensis,22,31,11,13,17,12,24,19
383,Camelus dromedarius,22,26,13,29,12,14,14,1
384,Francolinus leucoscepus,22,15,21,10,10,31,10,6
385,Phascogale calura,22,27,25,1,25,22,29,27
386,Vanellus chilensis,22,20,19,26,2,8,17,4
387,Tadorna tadorna,22,10,22,5,5,9,9,2
388,Graspus graspus,22,5,14,1,9,9,14,11
389,Tayassu tajacu,22,26,14,30,23,14,22,3
390,Ursus americanus,22,4,6,10,29,25,24,24
391,Leptoptilus dubius,22,16,31,17,25,23,23,17
392,Naja nivea,22,21,21,31,1,28,21,12
393,Mycteria ibis,22,24,4,8,19,18,12,16
394,Falco peregrinus,22,31,30,15,10,28,11,17
395,Ursus arctos,22,15,25,19,29,20,30,14
396,Macaca nemestrina,22,17,26,30,3,10,18,31
397,Chloephaga melanoptera,22,27,24,12,22,30,1,29
398,Isoodon obesulus,22,9,13,26,17,5,26,5
399,Neotis denhami,22,21,29,30,30,19,29,15
400,Pycnonotus barbatus,22,3,3,25,23,25,16,24
401,Semnopithecus entellus,22,30,23,10,23,5,16,6
402,Sitta canadensis,22,21,23,8,30,24,10,23
403,Pycnonotus barbatus,22,13,21,25,17,21,27,4
404,Uraeginthus granatina,22,28,9,20,15,5,19,20
405,Capreolus capreolus,22,11,21,23,7,14,19,14
406,Nyctea scandiaca,22,11,22,22,16,20,4,1
407,Semnopithecus entellus,22,3,20,25,8,19,5,24
408,Trachyphonus vaillantii,22,30,26,18,28,10,1,1
409,Bucorvus leadbeateri,22,23,16,9,28,24,6,20
410,Sula nebouxii,22,1,10,13,2,31,29,24
411,Heloderma horridum,22,20,21,29,14,13,4,7
412,Vulpes chama,22,16,22,3,25,26,12,5
413,Plegadis falcinellus,22,11,30,10,7,22,16,20
414,Grus antigone,22,21,28,9,27,30,1,20
415,Diomedea irrorata,22,6,26,10,15,25,30,29
416,Diceros bicornis,22,11,9,28,20,20,3,20
417,Anas platyrhynchos,22,3,4,26,3,10,4,6
418,Diomedea irrorata,22,19,3,5,15,3,16,14
419,Rhea americana,22,19,14,9,14,9,13,21
420,Dasyurus maculatus,22,7,8,4,13,17,19,28
421,Tadorna tadorna,22,19,1,8,10,31,2,18
422,Epicrates cenchria maurus,22,28,20,11,4,23,6,21
423,Microcebus murinus,22,22,8,27,21,19,6,8
424,Ctenophorus ornatus,22,22,4,17,29,20,29,26
425,Kobus leche robertsi,22,24,24,10,6,1,16,7
426,Ratufa indica,22,22,3,5,14,4,9,2
427,Agkistrodon piscivorus,22,20,18,5,31,23,8,3
428,Damaliscus dorcas,22,18,27,7,27,17,3,25
429,Phoenicopterus chilensis,22,14,31,18,20,26,20,17
430,Ploceus rubiginosus,22,20,11,18,17,2,15,2
431,Crotalus cerastes,22,1,14,30,6,14,16,10
432,Sarcophilus harrisii,22,11,28,14,8,13,26,20
433,Toxostoma curvirostre,22,11,8,6,29,28,1,17
434,Gymnorhina tibicen,22,2,5,8,14,18,10,25
435,Galictis vittata,22,15,4,17,20,4,4,15
436,Felis silvestris lybica,22,24,1,24,30,13,15,15
437,Bassariscus astutus,22,4,17,13,6,5,17,2
438,Sylvicapra grimma,22,30,30,12,7,23,3,30
439,Streptopelia senegalensis,22,26,25,2,18,19,16,13
440,Actophilornis africanus,22,6,22,3,19,1,16,4
441,Haematopus ater,22,19,28,9,16,15,22,22
442,Acanthaster planci,22,26,20,15,6,4,17,7
443,Vulpes chama,22,18,28,8,2,9,28,13
444,Hymenolaimus malacorhynchus,22,31,8,13,22,14,24,8
445,Ceratotherium simum,22,6,17,29,25,9,9,23
446,Equus hemionus,22,29,26,16,24,19,10,2
447,Terathopius ecaudatus,22,15,29,10,29,9,19,29
448,Dasyurus maculatus,22,8,11,14,21,24,7,29
449,Kobus defassa,22,16,23,19,2,18,14,10
450,Phasianus colchicus,22,4,9,28,27,27,29,3
451,unavailable,22,14,31,19,28,22,25,10
452,unavailable,22,12,24,17,12,12,7,5
453,Ictonyx striatus,22,31,13,24,9,11,21,6
454,Canis lupus,22,8,1,16,21,31,1,2
455,Dasypus novemcinctus,22,31,2,20,20,8,31,21
456,Ursus americanus,22,2,8,2,19,30,13,19
457,Rhea americana,22,11,20,26,28,18,20,31
458,Pteronura brasiliensis,22,4,23,31,27,17,5,8
459,Pseudalopex gymnocercus,22,31,22,16,4,17,11,17
460,Milvago chimachima,22,15,19,15,9,28,1,23
461,Gekko gecko,22,16,20,23,28,11,4,9
462,Tauraco porphyrelophus,22,9,12,17,31,31,7,21
463,Marmota caligata,22,5,1,25,26,12,14,2
464,Pelecanus conspicillatus,22,25,8,29,5,31,23,18
465,Nasua narica,22,20,19,17,30,11,15,6
466,Eubalaena australis,22,15,25,30,12,23,15,9
467,Pteronura brasiliensis,22,14,5,15,15,6,21,1
468,Laniaurius atrococcineus,22,8,26,23,28,5,3,13
469,Cynomys ludovicianus,22,21,31,27,11,18,18,20
470,Tadorna tadorna,22,19,16,24,9,1,17,9
471,Ara macao,22,13,30,3,12,21,6,14
472,Turtur chalcospilos,22,14,11,6,14,18,8,23
473,Phoenicopterus ruber,22,4,19,3,21,24,8,19
474,Anthropoides paradisea,22,19,5,15,20,14,9,16
475,Bubalus arnee,22,2,15,22,18,6,23,14
476,Mephitis mephitis,22,26,17,23,7,21,28,15
477,Aonyx capensis,22,8,19,9,19,5,19,28
478,Phoca vitulina,22,8,26,19,4,28,18,4
479,Otocyon megalotis,22,27,1,20,31,5,28,12
480,Felis caracal,22,1,20,13,4,5,13,29
481,Spermophilus parryii,22,23,3,12,13,20,10,8
482,Panthera onca,22,29,19,26,31,29,28,13
483,Notechis semmiannulatus,22,15,15,31,12,5,25,3
484,Ploceus rubiginosus,22,4,1,6,23,2,11,11
485,Anas bahamensis,22,20,15,15,11,14,5,21
486,Spermophilus armatus,22,1,31,20,2,3,16,11
487,Mazama gouazoubira,22,24,11,26,23,13,15,18
488,Cordylus giganteus,22,23,30,23,27,2,8,14
489,Choloepus hoffmani,22,1,26,9,4,20,24,19
490,Naja sp.,22,4,15,18,11,25,13,9
491,Spizaetus coronatus,22,28,9,26,30,22,15,6
492,Cygnus atratus,22,26,29,17,1,2,4,28
493,Varanus sp.,22,19,10,19,2,20,3,1
494,Macaca radiata,22,29,23,10,23,15,7,21
495,Eubalaena australis,22,17,16,14,12,16,19,15
496,Macropus eugenii,22,2,5,5,11,24,28,31
